Name,Chinese,Hanyu Pinyin,Division code[1],Area (km_),Population (2017_,Density (/km_)
Dongcheng District,___,D_ngch_ng Q_,110101,42,85.1,"20,262"
Xicheng District,___,X_ch_ng Q_,110102,51,122,"23,922"
Chaoyang District,___,Chàoyàng Q_,110105,471,373.9,"7,938"
Fengtai District,___,F_ngtài Q_,110106,304,218.6,"7,191"
Shijingshan District,____,ShÕj_ngsh_n Q_,110107,86,61.2,"7,116"
Haidian District,___,H_idiön Q_,110108,431,348,"8,074"
Mentougou District,____,M_ntÑug_u Q_,110109,1451,32.2,221.9159201
Fangshan District,___,Fàngsh_n Q_,110111,2019,218.6,1082.714215
Tongzhou District,___,T_ngzh_u Q_,110112,906,150.8,"1,664"
Shunyi District,___,ShùnyÒ Q_,110113,1021,112.8,1104.799216
Changping District,___,Ch_ngpÕng Q_,110114,1344,206.3,"1,535"
Daxing District,___,Döx_ng Q_,110115,1036,159.7,"1,542"
Huairou District,___,HuàirÑu Q_,110116,2123,40.5,190.7677814
Pinggu District,___,PÕngg_ Q_,110117,950,44.8,471.5789474
Miyun District,___,MÒyÏn Q_,110118,2229,49,219.82952
Yanqing District,___,YànqÒng Q_,110119,1994,34,170.5115346
